L    N        Fortran  C      C++    Python  Numba
2    4.0      0.00     0.01   0.01   1.68    2.59
3    9.0      0.01     0.02   0.02   2.30    2.60
4    16.0     0.02     0.03   0.03   4.66    2.67
5    25.0     0.04     0.06   0.05   7.11    2.73
6    36.0     0.07     0.08   0.08   nan     2.75
7    49.0     0.10     0.12   0.11   nan     2.85
8    64.0     0.14     0.16   0.14   nan     2.95
9    81.0     0.19     0.21   0.19   nan     3.08
10   100.0    0.24     0.27   0.25   nan     3.24
15   225.0    0.60     0.68   0.62   nan     4.19
20   400.0    1.28     1.37   1.24   nan     5.88
30   900.0    3.47     3.58   3.31   nan     nan
50   2500.0   10.95    11.16  10.71  nan     nan
100  10000.0  50.57    46.26  46.19  nan     nan
